,county,state,total_percentage16,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton, total_percentage20 ,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,lat,long,cases,deaths,percentage_deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomePerCap,Poverty,Professional,Service,Office,Construction,Production,SelfEmployed,FamilyWork,Unemployment,Total_Mail_Ballots_Returned20,Mail_Ballots_Returned_Trump20,Mail_Ballots_Returned_Biden20
377,Richland,WI,0.27,50.50,44.90,7962,4021,3577, 0.27 ,54.00,44.30,9014,4871,3995,43.3762778,-90.43012729,500,9,0.34,17626,8897,8729,2.2,95.2,0.7,0.3,0.5,0,13549,48234,24941,13.6,28,16.1,20.1,13.1,22.8,9.7,0.1,3.5,3426.01,1702.14,1723.86
378,Rock,WI,2.55,42.00,52.40,75043,31483,39336, 2.59 ,43.50,54.70,85348,37133,46649,42.67151616,-89.071479,5702,46,1.76,161226,79293,81933,8.4,83.3,4.4,0.1,1.2,0,118733,53410,26954,14.3,30.3,17.3,22.1,9,21.4,4.5,0.1,6.4,32438.74,16116.54,16322.20
379,Rusk,WI,0.24,64.90,30.90,7029,4564,2171, 0.24 ,66.70,31.90,7886,5257,2517,45.47498854,-91.1333012,251,1,0.04,14211,7160,7051,1.8,95.2,1,0.3,0.1,0,11126,41930,23574,15.2,23.2,14.2,21,14.1,27.4,10.6,0.7,4.1,2997.28,1489.14,1508.14
380,Sauk,WI,1.15,46.90,47.40,33848,15871,16050, 1.10 ,48.30,50.00,36203,17493,18108,43.42574087,-89.94966132,1967,8,0.31,63340,31555,31785,4.8,91.3,0.7,1.1,0.7,0,47624,54447,28331,11.3,30.9,19.4,22.3,10.8,16.5,6,0.4,3.6,13759.90,6836.33,6923.57
381,Sawyer,WI,0.26,59.50,36.60,7767,4625,2846, 0.32 ,56.10,42.90,10479,5883,4494,45.87931905,-91.14504927,419,4,0.15,16384,8315,8069,2.5,76.9,0.7,17.2,0.5,0,13015,43565,29712,17.7,29.8,20.9,22.6,12.3,14.5,10.4,0.9,6.2,3982.82,1978.78,2004.03
382,Shawano,WI,0.67,64.70,30.70,19697,12742,6056, 0.69 ,67.10,31.50,22607,15173,7131,44.78902246,-88.76443896,2683,26,0.99,41136,20632,20504,2.6,87.1,0.3,7.3,0.4,0,31889,51751,26627,11.5,28.9,16.5,21,12.5,21.2,8.9,0.4,3.9,8592.38,4268.95,4323.43
383,Sheboygan,WI,1.98,55.50,38.80,58290,32368,22636, 2.00 ,57.00,41.10,66003,37609,27101,43.72099677,-87.94579284,5290,31,1.18,115094,57875,57219,6.2,85.1,1.6,0.2,5.4,0,86298,56114,28849,8.2,30,16.3,21,8.1,24.6,4.3,0.1,4.4,25086.17,12463.56,12622.61
384,St. Croix,WI,1.59,55.80,37.40,46819,26123,17496, 1.72 ,56.80,40.90,56707,32199,23190,45.03437474,-92.45000068,2103,11,0.42,87142,43468,43674,2.3,94.2,0.9,0.4,1,0,63960,77768,36561,4.8,38.9,14.9,22.7,9.3,14.2,6.1,0.1,3.3,21552.98,10708.17,10844.81
385,Taylor,WI,0.32,70.00,25.50,9417,6589,2398, 0.32 ,71.70,25.20,10685,7656,2693,45.21179252,-90.5004405,555,7,0.27,20344,10402,9942,1.8,96.4,0.5,0.2,0.2,0,15297,49821,26290,10.9,26.6,12.8,17.4,14.3,28.9,11.9,0.7,3.8,4061.11,2017.68,2043.43
386,Trempealeau,WI,0.46,54.30,41.60,13581,7370,5645, 0.47 ,57.50,40.90,15356,8828,6283,44.30360275,-91.35893614,1144,4,0.15,29510,14902,14608,7.6,90.4,0.5,0.3,0.5,0,21457,54009,26654,9,29.3,15,18.7,12,25,8.8,0.2,3.3,5836.45,2899.72,2936.73
387,Vernon,WI,0.48,49.30,44.70,14193,6994,6351, 0.48 ,51.60,46.90,15914,8218,7457,43.59422667,-90.8324691,543,2,0.08,30378,15240,15138,1.6,96.3,0.4,0.3,0.5,0,22384,49996,25314,16.6,31.4,18.2,18.9,13.3,18.2,10.7,0.5,2.9,6048.53,3005.09,3043.44
388,Vilas,WI,0.46,60.70,35.40,13453,8169,4769, 0.47 ,60.30,38.40,15369,9261,5903,46.05467334,-89.51719204,656,7,0.27,21465,10734,10731,2.2,85,0.1,8.9,0.6,0.1,17737,42720,29058,15.3,29.5,24.5,23.4,13.5,9.1,12.8,0.3,7.9,5841.39,2902.18,2939.21
389,Walworth,WI,1.72,57.00,37.00,50570,28848,18706, 1.75 ,58.80,39.60,57588,33844,22783,42.66858202,-88.54163073,3590,39,1.49,102917,51330,51587,11.1,85.5,1,0.2,1,0.1,76828,58401,29192,12.4,30.8,19.1,22.9,10,17.2,6,0.2,5.6,21887.83,10874.53,11013.30
390,Washburn,WI,0.31,59.70,36.20,9059,5404,3283, 0.31 ,61.10,37.30,10371,6332,3867,45.89838588,-91.79050449,267,2,0.08,15638,7716,7922,1.7,94.6,0.5,1.2,0.5,0,12572,46592,28232,13,30.2,18.2,21.6,12.2,17.9,9.3,0.2,5.1,3941.77,1958.39,1983.38
